EEID,satisfaction_level,satisfaction_level_bucket,last_evaluation,last_evaluation_bucket,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Burnout risk
EMP-2010,3,Medium,3,Medium,4,258,3,0,0,0,sales,medium,Stable
EMP-2011,2,Low,3,Medium,2,136,3,0,0,0,sales,medium,Stable
EMP-2012,3,Medium,5,High,5,255,6,0,0,0,accounting,medium,Stable
EMP-2013,4,High,3,Medium,3,218,3,0,0,0,accounting,medium,Stable
EMP-2014,3,Medium,4,High,3,268,4,0,0,0,accounting,medium,Stable
EMP-2015,4,High,3,Medium,3,224,2,0,0,0,hr,medium,Stable
EMP-2016,5,High,4,High,3,231,3,0,0,0,hr,medium,Stable
EMP-2017,3,Medium,4,High,6,191,6,0,0,0,hr,medium,Stable
EMP-2018,5,High,5,High,4,165,5,0,0,0,hr,medium,Stable
EMP-2019,3,Medium,4,High,4,252,3,0,0,0,technical,medium,Stable
EMP-2020,4,High,5,High,5,266,2,0,0,0,technical,medium,Stable
EMP-2021,5,High,4,High,5,248,3,0,0,0,technical,medium,Stable
EMP-2022,4,High,4,High,4,144,4,0,0,0,technical,high,Stable
EMP-2023,5,High,3,Medium,4,174,3,0,0,0,technical,low,Stable
EMP-2024,2,Low,4,High,5,179,6,0,0,0,technical,medium,Stable
EMP-2025,4,High,3,Medium,6,246,4,0,0,0,technical,medium,Stable
EMP-2026,3,Medium,4,High,4,201,3,1,0,0,technical,medium,Stable
EMP-2027,5,High,5,High,4,208,3,0,0,0,technical,medium,Stable
EMP-2028,3,Medium,5,High,3,267,3,0,0,0,technical,low,Stable
EMP-2029,4,High,4,High,4,262,4,0,0,0,technical,low,Stable
EMP-2030,4,High,3,Medium,3,235,3,0,0,0,support,low,Stable
EMP-2031,4,High,3,Medium,2,160,4,0,0,0,support,low,Stable
EMP-2032,3,Medium,5,High,4,267,4,0,0,0,support,low,Stable
EMP-2033,4,High,3,Medium,5,175,4,0,0,0,support,low,Stable
EMP-2034,4,High,4,High,4,224,2,0,0,0,support,low,Stable
EMP-2035,4,High,3,Medium,4,177,2,0,0,0,support,low,Stable
EMP-2036,2,Low,3,Medium,6,191,4,0,0,0,support,low,Stable
EMP-2037,3,Medium,3,Medium,3,138,3,0,0,0,support,low,Stable
EMP-2038,3,Medium,4,High,3,218,2,1,0,0,support,low,Stable
EMP-2039,3,Medium,5,High,3,179,2,1,0,0,support,low,Stable
EMP-2040,4,High,3,Medium,3,241,3,0,0,0,support,low,Stable
EMP-2041,5,High,5,High,4,240,3,0,0,0,technical,low,Stable
EMP-2042,4,High,5,High,3,202,4,0,0,0,technical,low,Stable
EMP-2043,2,Low,5,High,6,260,3,0,0,0,technical,low,Burnout Risk
EMP-2044,5,High,5,High,3,196,3,0,0,0,management,low,Stable
EMP-2045,3,Medium,3,Medium,2,176,3,1,0,0,IT,low,Stable
EMP-2046,4,High,4,High,2,140,3,0,0,0,IT,low,Stable
EMP-2047,4,High,3,Medium,3,242,2,0,0,0,IT,low,Stable
EMP-2048,3,Medium,4,High,3,279,4,0,0,0,IT,low,Stable
EMP-2049,3,Medium,3,Medium,4,202,3,0,0,0,IT,medium,Stable
EMP-2050,3,Medium,4,High,5,228,3,0,0,0,product_mng,medium,Stable
EMP-2051,4,High,4,High,4,171,3,0,0,0,product_mng,medium,Stable
EMP-2052,4,High,3,Medium,4,153,3,0,0,0,product_mng,medium,Stable
EMP-2053,3,Medium,4,High,3,165,3,1,0,0,product_mng,medium,Stable
EMP-2054,4,High,3,Medium,3,182,3,0,0,0,IT,medium,Stable
EMP-2055,3,Medium,4,High,5,239,5,0,0,0,RandD,medium,Stable
EMP-2056,4,High,3,Medium,5,231,2,0,0,0,RandD,medium,Stable
EMP-2057,4,High,3,Medium,4,255,3,0,0,0,RandD,medium,Stable
EMP-2058,4,High,4,High,4,237,2,1,0,0,RandD,medium,Stable
EMP-2059,4,High,3,Medium,3,251,2,0,0,0,RandD,medium,Stable
EMP-2060,4,High,3,Medium,4,178,2,0,0,0,marketing,medium,Stable
EMP-2061,4,High,4,High,4,148,3,0,0,0,sales,high,Stable
EMP-2062,4,High,5,High,4,240,4,0,0,0,accounting,low,Stable
EMP-2063,4,High,4,High,3,269,3,0,0,0,support,medium,Stable
EMP-2064,4,High,5,High,4,147,3,0,0,0,technical,medium,Stable
EMP-2065,2,Low,5,High,3,198,5,0,0,0,management,medium,Stable
EMP-2066,4,High,5,High,5,143,3,0,0,0,marketing,medium,Stable
EMP-2067,5,High,5,High,3,238,2,0,0,0,marketing,low,Stable
EMP-2068,3,Medium,4,High,4,213,4,0,0,0,marketing,low,Stable
EMP-2069,3,Medium,4,High,3,226,3,1,0,0,sales,low,Stable
EMP-2070,4,High,5,High,3,169,2,1,0,0,sales,low,Stable
EMP-2071,5,High,4,High,4,238,2,0,0,0,sales,low,Stable
EMP-2072,5,High,4,High,4,202,3,0,0,0,sales,low,Stable
EMP-2073,3,Medium,4,High,2,205,6,1,0,0,sales,low,Stable
EMP-2074,3,Medium,4,High,3,111,4,0,0,0,sales,low,Stable
EMP-2075,3,Medium,3,Medium,4,104,3,0,0,0,sales,low,Stable
EMP-2076,3,Medium,4,High,3,212,3,0,0,0,sales,low,Stable
EMP-2077,4,High,3,Medium,4,236,4,0,0,0,sales,low,Stable
EMP-2078,4,High,3,Medium,5,245,2,1,0,0,sales,low,Stable
EMP-2079,4,High,4,High,4,267,4,0,0,0,sales,low,Stable
EMP-2080,4,High,4,High,5,106,5,0,0,0,sales,low,Stable
EMP-2081,5,High,3,Medium,5,198,3,0,0,0,sales,low,Stable
EMP-2082,2,Low,3,Medium,6,239,3,0,0,0,sales,low,Burnout Risk
EMP-2083,2,Low,4,High,5,220,3,0,0,0,sales,low,Burnout Risk
EMP-2084,4,High,3,Medium,5,224,3,0,0,0,sales,low,Stable
EMP-2085,4,High,3,Medium,3,100,3,0,0,0,sales,low,Stable
EMP-2086,1,Low,4,High,4,244,5,0,0,0,sales,low,Burnout Risk
EMP-2087,3,Medium,4,High,4,139,3,0,0,0,sales,low,Stable
EMP-2088,3,Medium,3,Medium,2,152,2,0,0,0,accounting,medium,Stable
EMP-2089,4,High,3,Medium,4,208,3,0,0,0,accounting,medium,Stable
EMP-2090,3,Medium,5,High,5,205,3,0,0,0,accounting,medium,Stable
EMP-2091,4,High,3,Medium,2,194,6,0,0,0,hr,medium,Stable
EMP-2092,2,Low,3,Medium,3,209,5,0,0,0,hr,medium,Burnout Risk
EMP-2093,3,Medium,5,High,3,212,3,0,0,0,hr,medium,Stable
EMP-2094,3,Medium,3,Medium,2,151,3,0,0,0,hr,medium,Stable
EMP-2095,3,Medium,4,High,4,282,6,0,0,0,technical,medium,Stable
EMP-2096,4,High,5,High,4,256,3,0,0,0,technical,medium,Stable
EMP-2097,5,High,4,High,2,185,3,1,0,0,technical,medium,Stable
EMP-2098,4,High,4,High,5,132,3,0,0,0,technical,medium,Stable
EMP-2099,3,Medium,5,High,5,233,3,0,0,0,technical,medium,Stable
EMP-2100,3,Medium,5,High,4,215,2,0,0,0,technical,high,Stable
EMP-2101,5,High,4,High,3,220,4,0,0,0,technical,low,Stable
EMP-2102,2,Low,3,Medium,6,222,3,0,0,0,technical,medium,Burnout Risk
EMP-2103,2,Low,3,Medium,5,182,2,0,0,0,technical,medium,Stable
EMP-2104,2,Low,4,High,5,258,4,0,0,0,technical,medium,Burnout Risk
EMP-2105,4,High,3,Medium,3,209,2,0,0,0,technical,medium,Stable
EMP-2106,4,High,4,High,3,242,2,0,0,0,support,low,Stable
EMP-2107,3,Medium,5,High,4,155,3,1,0,0,support,low,Stable
EMP-2108,4,High,4,High,5,104,4,0,0,0,support,low,Stable
EMP-2109,5,High,5,High,4,201,3,1,0,0,support,low,Stable
EMP-2110,5,High,4,High,5,143,3,0,0,0,support,low,Stable
EMP-2111,5,High,5,High,5,161,3,1,0,0,support,low,Stable
EMP-2112,3,Medium,4,High,4,200,2,0,0,0,support,low,Stable
EMP-2113,5,High,3,Medium,4,255,2,0,0,0,support,low,Stable
EMP-2114,2,Low,3,Medium,5,227,2,0,0,0,support,low,Burnout Risk
EMP-2115,3,Medium,5,High,3,270,6,0,0,0,support,low,Stable
EMP-2116,3,Medium,4,High,5,230,3,0,0,0,support,low,Stable
EMP-2117,4,High,4,High,5,270,3,1,0,0,technical,low,Stable
EMP-2118,5,High,3,Medium,4,200,3,0,0,0,technical,low,Stable
EMP-2119,3,Medium,5,High,5,207,3,0,0,0,technical,low,Stable
EMP-2120,4,High,3,Medium,5,182,3,0,0,0,management,low,Stable
EMP-2121,4,High,4,High,4,234,3,0,0,0,IT,low,Stable
EMP-2122,4,High,3,Medium,4,237,2,0,0,0,IT,low,Stable
EMP-2123,4,High,5,High,4,187,2,1,0,0,IT,low,Stable
EMP-2124,4,High,3,Medium,3,257,6,0,0,0,IT,low,Stable
EMP-2125,3,Medium,3,Medium,2,194,2,0,0,0,IT,low,Stable
EMP-2126,4,High,3,Medium,4,162,3,0,0,0,product_mng,low,Stable
EMP-2127,4,High,3,Medium,4,148,2,0,0,0,product_mng,medium,Stable
EMP-2128,3,Medium,4,High,4,210,2,0,0,0,product_mng,medium,Stable
EMP-2129,3,Medium,4,High,3,213,2,1,0,0,product_mng,medium,Stable
EMP-2130,4,High,4,High,4,189,2,1,0,0,IT,medium,Stable
EMP-2131,4,High,5,High,4,185,2,0,0,0,RandD,medium,Stable
EMP-2132,4,High,4,High,3,186,2,1,0,0,RandD,medium,Stable
EMP-2133,3,Medium,3,Medium,3,128,3,0,0,0,RandD,medium,Stable
EMP-2134,3,Medium,4,High,4,268,3,0,0,0,RandD,medium,Stable
EMP-2135,4,High,4,High,3,213,3,1,0,0,RandD,medium,Stable
EMP-2136,4,High,4,High,4,142,2,0,0,0,marketing,medium,Stable
EMP-2137,3,Medium,3,Medium,2,199,2,0,0,0,sales,medium,Stable
EMP-2138,4,High,3,Medium,4,157,2,0,0,0,accounting,medium,Stable
EMP-2139,4,High,4,High,5,172,2,1,0,0,support,high,Stable
EMP-2140,4,High,4,High,3,176,3,1,0,0,technical,low,Stable
EMP-2141,2,Low,3,Medium,2,183,2,0,0,0,management,medium,Stable
EMP-2142,5,High,3,Medium,4,270,2,0,0,0,marketing,medium,Stable
EMP-2143,5,High,4,High,5,157,4,1,0,0,marketing,medium,Stable
EMP-2144,5,High,3,Medium,4,185,3,0,0,0,marketing,medium,Stable
EMP-2145,5,High,4,High,3,167,3,0,0,0,sales,low,Stable
EMP-2146,2,Low,3,Medium,5,226,5,0,0,0,sales,low,Burnout Risk
EMP-2147,4,High,4,High,3,223,4,0,0,0,sales,low,Stable
EMP-2148,4,High,4,High,3,257,3,0,0,0,sales,low,Stable
EMP-2149,4,High,3,Medium,4,143,3,0,0,0,sales,low,Stable
EMP-2150,4,High,4,High,3,215,2,0,0,0,sales,low,Stable
EMP-2151,4,High,5,High,3,194,4,0,0,0,sales,low,Stable
EMP-2152,4,High,5,High,5,193,3,0,0,0,sales,low,Stable
EMP-2153,4,High,4,High,3,163,3,0,0,0,sales,low,Stable
EMP-2154,3,Medium,5,High,5,252,5,0,0,0,sales,low,Stable
EMP-2155,2,Low,4,High,3,168,3,0,0,0,sales,low,Stable
EMP-2156,4,High,4,High,3,231,3,0,0,0,sales,low,Stable
EMP-2157,4,High,3,Medium,2,141,2,0,0,0,sales,low,Stable
EMP-2158,3,Medium,4,High,4,260,2,0,0,0,sales,low,Stable
EMP-2159,4,High,4,High,3,132,2,0,0,0,sales,low,Stable
EMP-2160,3,Medium,4,High,2,159,2,0,0,0,sales,low,Stable
EMP-2161,4,High,3,Medium,4,177,3,1,0,0,sales,low,Stable
EMP-2162,3,Medium,5,High,4,248,3,0,0,0,sales,low,Stable
EMP-2163,5,High,3,Medium,3,185,2,0,0,0,sales,low,Stable
EMP-2164,5,High,4,High,4,149,2,0,0,0,accounting,low,Stable
EMP-2165,5,High,5,High,3,152,3,0,0,0,accounting,low,Stable
EMP-2166,4,High,4,High,3,129,3,0,0,0,accounting,medium,Stable
EMP-2167,5,High,4,High,4,208,2,0,0,0,hr,medium,Stable
EMP-2168,4,High,5,High,4,136,2,0,0,0,hr,medium,Stable
EMP-2169,3,Medium,4,High,3,142,2,0,0,0,hr,medium,Stable
EMP-2170,4,High,5,High,3,225,4,0,0,0,hr,medium,Stable
EMP-2171,4,High,3,Medium,3,143,3,0,0,0,technical,medium,Stable
EMP-2172,4,High,3,Medium,4,215,3,0,0,0,technical,medium,Stable
EMP-2173,2,Low,3,Medium,3,229,6,1,0,0,technical,medium,Burnout Risk
EMP-2174,5,High,4,High,5,193,5,0,0,0,technical,medium,Stable
EMP-2175,2,Low,3,Medium,5,160,5,0,0,0,technical,medium,Stable
EMP-2176,4,High,4,High,4,195,5,1,0,0,technical,medium,Stable
EMP-2177,2,Low,5,High,4,189,2,0,0,0,technical,medium,Stable
EMP-2178,2,Low,4,High,4,207,5,0,0,0,technical,high,Burnout Risk
EMP-2179,5,High,3,Medium,4,108,3,0,0,0,technical,low,Stable
EMP-2180,2,Low,4,High,6,224,4,0,0,0,technical,medium,Burnout Risk
EMP-2181,5,High,4,High,5,180,3,1,0,0,technical,medium,Stable
EMP-2182,2,Low,4,High,6,152,4,0,0,0,support,medium,Stable
EMP-2183,2,Low,3,Medium,4,244,2,0,0,0,support,medium,Burnout Risk
EMP-2184,4,High,4,High,3,176,3,0,0,0,support,low,Stable
EMP-2185,4,High,4,High,4,145,2,1,0,0,support,low,Stable
EMP-2186,4,High,3,Medium,3,149,3,0,0,0,support,low,Stable
EMP-2187,3,Medium,3,Medium,3,122,4,0,0,0,support,low,Stable
EMP-2188,2,Low,4,High,2,110,5,0,0,0,support,low,Stable
EMP-2189,5,High,5,High,4,222,2,0,0,0,support,low,Stable
EMP-2190,4,High,3,Medium,3,237,3,0,0,0,support,low,Stable
EMP-2191,4,High,4,High,4,224,3,0,0,0,support,low,Stable
EMP-2192,4,High,3,Medium,5,115,5,0,0,0,support,low,Stable
EMP-2193,5,High,4,High,4,180,3,0,0,0,technical,low,Stable
EMP-2194,4,High,4,High,4,162,3,0,0,0,technical,low,Stable
EMP-2195,5,High,3,Medium,4,136,3,0,0,0,technical,low,Stable
EMP-2196,4,High,4,High,3,260,2,0,0,0,management,low,Stable
EMP-2197,5,High,4,High,4,150,2,0,0,0,IT,low,Stable
EMP-2198,3,Medium,5,High,4,248,3,0,0,0,IT,low,Stable
EMP-2199,4,High,4,High,3,233,3,1,0,0,IT,low,Stable
EMP-2200,5,High,3,Medium,5,272,3,0,0,0,IT,low,Stable
EMP-2201,2,Low,3,Medium,3,197,5,0,0,0,IT,low,Stable
EMP-2202,2,Low,4,High,5,164,5,0,0,0,product_mng,low,Stable
EMP-2203,4,High,3,Medium,4,216,2,0,0,0,product_mng,low,Stable
EMP-2204,4,High,4,High,4,266,3,1,0,0,product_mng,low,Stable
EMP-2205,4,High,4,High,3,102,4,1,0,0,product_mng,medium,Stable
EMP-2206,2,Low,5,High,5,284,5,0,0,0,IT,medium,Burnout Risk
EMP-2207,3,Medium,4,High,3,145,2,1,0,0,RandD,medium,Stable
EMP-2208,3,Medium,5,High,3,167,4,0,0,0,RandD,medium,Stable
EMP-2209,3,Medium,4,High,3,172,2,0,0,0,RandD,medium,Stable
EMP-2210,3,Medium,3,Medium,5,198,5,0,0,0,RandD,medium,Stable
EMP-2211,3,Medium,4,High,4,201,4,0,0,0,RandD,medium,Stable
EMP-2212,5,High,5,High,4,197,4,0,0,0,marketing,medium,Stable
EMP-2213,4,High,5,High,4,270,2,0,0,0,sales,medium,Stable
EMP-2214,3,Medium,3,Medium,2,149,3,0,0,0,accounting,medium,Stable
EMP-2215,5,High,3,Medium,3,256,3,0,0,0,support,medium,Stable
EMP-2216,5,High,3,Medium,3,162,3,0,0,0,technical,medium,Stable
EMP-2217,3,Medium,5,High,5,163,2,0,0,0,management,high,Stable
EMP-2218,4,High,5,High,3,266,3,1,0,0,marketing,low,Stable
EMP-2219,2,Low,3,Medium,4,208,4,0,0,0,marketing,medium,Burnout Risk
EMP-2220,4,High,3,Medium,4,138,4,0,0,0,marketing,medium,Stable
EMP-2221,4,High,4,High,4,232,3,0,0,0,sales,medium,Stable
EMP-2222,2,Low,4,High,6,100,4,0,0,0,sales,medium,Stable
EMP-2223,3,Medium,4,High,2,172,5,0,0,0,sales,low,Stable
EMP-2224,2,Low,3,Medium,3,133,6,1,0,0,sales,low,Stable
EMP-2225,4,High,3,Medium,3,234,3,0,0,0,sales,low,Stable
EMP-2226,4,High,3,Medium,2,183,4,0,0,0,sales,low,Stable
EMP-2227,3,Medium,5,High,4,174,4,0,0,0,sales,low,Stable
EMP-2228,5,High,4,High,3,175,2,0,0,0,sales,low,Stable
EMP-2229,3,Medium,4,High,3,109,3,1,0,0,sales,low,Stable
EMP-2230,5,High,4,High,4,248,3,0,0,0,sales,low,Stable
EMP-2231,3,Medium,4,High,5,104,4,0,0,0,sales,low,Stable
EMP-2232,3,Medium,3,Medium,3,154,2,0,0,0,sales,low,Stable
EMP-2233,4,High,5,High,6,214,2,0,0,0,sales,low,Stable
EMP-2234,5,High,4,High,4,209,4,0,0,0,sales,low,Stable
EMP-2235,2,Low,4,High,6,212,2,0,0,0,sales,low,Burnout Risk
EMP-2236,3,Medium,2,Low,3,168,3,1,0,0,sales,low,Stable
EMP-2237,4,High,4,High,4,176,3,0,0,0,sales,low,Stable
EMP-2238,4,High,3,Medium,4,163,4,1,0,0,sales,low,Stable
EMP-2239,4,High,5,High,4,148,2,0,0,0,sales,low,Stable
EMP-2240,3,Medium,5,High,3,137,3,0,0,0,accounting,low,Stable
EMP-2241,5,High,5,High,5,162,3,0,0,0,accounting,low,Stable
EMP-2242,4,High,3,Medium,4,216,3,0,0,0,accounting,low,Stable
EMP-2243,5,High,3,Medium,3,240,2,0,0,0,hr,low,Stable
EMP-2244,4,High,3,Medium,4,176,2,0,0,0,hr,medium,Stable
EMP-2245,3,Medium,4,High,6,192,6,0,0,0,hr,medium,Stable
EMP-2246,4,High,4,High,3,160,4,0,0,0,hr,medium,Stable
EMP-2247,4,High,4,High,4,194,2,1,0,0,technical,medium,Stable
EMP-2248,3,Medium,4,High,4,239,2,1,0,0,technical,medium,Stable
EMP-2249,5,High,3,Medium,4,204,3,0,0,0,technical,medium,Stable
EMP-2250,2,Low,5,High,5,258,3,0,0,0,technical,medium,Burnout Risk
EMP-2251,3,Medium,3,Medium,3,257,3,0,0,0,technical,medium,Stable
EMP-2252,3,Medium,5,High,4,137,3,0,0,0,technical,medium,Stable
EMP-2253,2,Low,3,Medium,6,175,4,0,0,0,technical,medium,Stable
EMP-2254,5,High,4,High,3,183,3,0,0,0,technical,medium,Stable
EMP-2255,4,High,4,High,4,190,4,0,0,0,technical,medium,Stable
EMP-2256,5,High,4,High,3,225,2,0,0,0,technical,high,Stable
EMP-2257,5,High,4,High,3,215,3,0,0,0,technical,low,Stable
EMP-2258,5,High,3,Medium,3,176,4,1,0,0,support,medium,Stable
EMP-2259,4,High,5,High,4,153,3,1,0,0,support,medium,Stable
EMP-2260,4,High,4,High,3,150,2,1,0,0,support,medium,Stable
EMP-2261,4,High,3,Medium,4,259,5,0,0,0,support,medium,Stable
EMP-2262,3,Medium,3,Medium,3,99,2,0,0,0,support,low,Stable
EMP-2263,5,High,5,High,3,167,2,0,0,0,support,low,Stable
EMP-2264,3,Medium,4,High,3,192,3,0,0,0,support,low,Stable
EMP-2265,4,High,3,Medium,5,146,3,0,0,0,support,low,Stable
EMP-2266,3,Medium,3,Medium,3,190,3,0,0,0,support,low,Stable
EMP-2267,2,Low,3,Medium,5,246,3,0,0,0,support,low,Burnout Risk
EMP-2268,5,High,4,High,6,190,3,0,0,0,support,low,Stable
EMP-2269,4,High,4,High,5,260,2,0,0,0,technical,low,Stable
EMP-2270,4,High,5,High,4,136,3,0,0,0,technical,low,Stable
EMP-2271,3,Medium,3,Medium,4,231,3,0,0,0,technical,low,Stable
EMP-2272,5,High,5,High,3,204,2,0,0,0,management,low,Stable
EMP-2273,4,High,5,High,4,201,3,0,0,0,IT,low,Stable
EMP-2274,5,High,5,High,3,159,3,0,0,0,IT,low,Stable
EMP-2275,5,High,4,High,5,171,3,0,0,0,IT,low,Stable
EMP-2276,4,High,4,High,6,240,4,0,0,0,IT,low,Stable
EMP-2277,4,High,4,High,2,152,4,0,0,0,IT,low,Stable
EMP-2278,4,High,5,High,3,151,3,1,0,0,product_mng,low,Stable
EMP-2279,5,High,3,Medium,6,232,2,1,0,0,product_mng,low,Stable
EMP-2280,4,High,4,High,4,128,5,0,0,0,product_mng,low,Stable
EMP-2281,2,Low,5,High,3,187,6,1,0,0,product_mng,low,Stable
EMP-2282,5,High,3,Medium,3,160,2,0,0,0,IT,low,Stable
EMP-2283,4,High,4,High,4,259,3,0,0,0,RandD,medium,Stable
EMP-2284,4,High,3,Medium,2,136,2,0,0,0,RandD,medium,Stable
EMP-2285,4,High,3,Medium,4,253,3,0,0,0,RandD,medium,Stable
EMP-2286,3,Medium,4,High,3,260,3,0,0,0,RandD,medium,Stable
EMP-2287,2,Low,3,Medium,5,231,6,0,0,0,RandD,medium,Burnout Risk
EMP-2288,3,Medium,5,High,3,101,2,1,0,0,marketing,medium,Stable
EMP-2289,3,Medium,4,High,2,174,3,0,0,0,sales,medium,Stable
EMP-2290,4,High,4,High,4,167,2,0,0,0,accounting,medium,Stable
EMP-2291,5,High,5,High,3,148,3,0,0,0,support,medium,Stable
EMP-2292,5,High,4,High,6,139,5,1,0,0,technical,medium,Stable
EMP-2293,4,High,4,High,4,136,3,0,0,0,management,medium,Stable
EMP-2294,4,High,4,High,4,153,2,0,0,0,marketing,medium,Stable
EMP-2295,5,High,4,High,4,161,2,0,0,0,marketing,high,Stable
EMP-2296,3,Medium,3,Medium,2,163,2,0,0,0,marketing,low,Stable
EMP-2297,5,High,4,High,3,164,3,0,0,0,sales,medium,Stable
EMP-2298,3,Medium,4,High,2,137,5,0,0,0,sales,medium,Stable
EMP-2299,3,Medium,3,Medium,3,137,3,0,0,0,sales,medium,Stable
EMP-2300,3,Medium,3,Medium,6,106,5,0,0,0,sales,medium,Stable
EMP-2301,5,High,3,Medium,2,272,2,0,0,0,sales,low,Stable
EMP-2302,3,Medium,3,Medium,5,238,3,0,0,0,sales,low,Stable
EMP-2303,3,Medium,4,High,4,223,4,0,0,0,sales,low,Stable
EMP-2304,3,Medium,3,Medium,3,201,2,0,0,0,sales,low,Stable
EMP-2305,5,High,3,Medium,6,97,4,0,0,0,sales,low,Stable
EMP-2306,4,High,5,High,2,232,6,1,0,0,sales,low,Stable
EMP-2307,3,Medium,4,High,4,199,3,0,0,0,sales,low,Stable
EMP-2308,3,Medium,3,Medium,3,141,3,0,0,0,sales,low,Stable
EMP-2309,3,Medium,3,Medium,3,171,2,0,0,0,sales,low,Stable
EMP-2310,4,High,3,Medium,4,212,3,0,0,0,sales,low,Stable
EMP-2311,4,High,3,Medium,5,270,2,0,0,0,sales,low,Stable
EMP-2312,3,Medium,4,High,3,267,2,0,0,0,sales,low,Stable
EMP-2313,5,High,4,High,3,134,2,1,0,0,sales,low,Stable
EMP-2314,2,Low,3,Medium,4,165,5,0,0,0,sales,low,Stable
EMP-2315,4,High,4,High,5,168,4,1,0,0,sales,low,Stable
EMP-2316,3,Medium,5,High,3,262,2,0,0,0,accounting,low,Stable
EMP-2317,4,High,4,High,3,185,2,0,0,0,accounting,low,Stable
EMP-2318,3,Medium,4,High,3,237,3,0,0,0,accounting,low,Stable
EMP-2319,5,High,4,High,4,192,3,0,0,0,hr,low,Stable
EMP-2320,5,High,4,High,5,236,2,0,0,0,hr,low,Stable
EMP-2321,5,High,4,High,4,202,4,1,0,0,hr,low,Stable
EMP-2322,4,High,5,High,4,171,2,0,0,0,hr,medium,Stable
EMP-2323,4,High,4,High,5,160,3,0,0,0,technical,medium,Stable
EMP-2324,5,High,4,High,2,252,3,0,0,0,technical,medium,Stable
EMP-2325,3,Medium,3,Medium,5,206,3,0,0,0,technical,medium,Stable
EMP-2326,3,Medium,4,High,3,212,2,0,0,0,technical,medium,Stable
EMP-2327,3,Medium,4,High,3,111,3,0,0,0,technical,medium,Stable
EMP-2328,3,Medium,4,High,3,240,2,0,0,0,technical,medium,Stable
EMP-2329,4,High,4,High,2,171,2,0,0,0,technical,medium,Stable
EMP-2330,2,Low,3,Medium,3,129,2,0,0,0,technical,medium,Stable
EMP-2331,4,High,4,High,3,271,2,0,0,0,technical,medium,Stable
EMP-2332,5,High,4,High,4,162,2,0,0,0,technical,medium,Stable
EMP-2333,4,High,5,High,3,191,3,0,0,0,technical,medium,Stable
EMP-2334,4,High,3,Medium,5,176,3,0,0,0,support,high,Stable
EMP-2335,5,High,4,High,3,182,2,1,0,0,support,low,Stable
EMP-2336,3,Medium,4,High,3,226,3,0,0,0,support,medium,Stable
EMP-2337,3,Medium,3,Medium,4,161,3,0,0,0,support,medium,Stable
EMP-2338,4,High,3,Medium,4,163,3,0,0,0,support,medium,Stable
EMP-2339,2,Low,3,Medium,5,173,4,0,0,0,support,medium,Stable
EMP-2340,3,Medium,3,Medium,3,228,2,0,0,0,support,low,Stable
EMP-2341,4,High,5,High,3,139,3,0,0,0,support,low,Stable
EMP-2342,5,High,3,Medium,5,128,5,0,0,0,support,low,Stable
EMP-2343,4,High,5,High,3,115,2,1,0,0,support,low,Stable
EMP-2344,5,High,5,High,5,191,4,0,0,0,support,low,Stable
EMP-2345,5,High,4,High,4,183,3,0,0,0,technical,low,Stable
EMP-2346,3,Medium,3,Medium,3,173,3,0,0,0,technical,low,Stable
EMP-2347,4,High,5,High,4,174,2,0,0,0,technical,low,Stable
EMP-2348,4,High,4,High,3,213,3,0,0,0,management,low,Stable
EMP-2349,4,High,4,High,4,192,4,0,0,0,IT,low,Stable
EMP-2350,4,High,3,Medium,3,167,2,1,0,0,IT,low,Stable
EMP-2351,4,High,4,High,3,263,3,1,0,0,IT,low,Stable
EMP-2352,3,Medium,4,High,2,100,3,0,0,0,IT,low,Stable
EMP-2353,5,High,4,High,3,164,3,0,0,0,IT,low,Stable
EMP-2354,4,High,4,High,5,172,2,0,0,0,product_mng,low,Stable
EMP-2355,3,Medium,3,Medium,4,171,3,0,0,0,product_mng,low,Stable
EMP-2356,5,High,5,High,4,236,3,0,0,0,product_mng,low,Stable
EMP-2357,4,High,5,High,5,186,4,0,0,0,product_mng,low,Stable
EMP-2358,5,High,4,High,4,175,3,0,0,0,IT,low,Stable
EMP-2359,4,High,3,Medium,5,227,3,0,0,0,RandD,low,Stable
EMP-2360,2,Low,4,High,4,142,6,0,0,0,RandD,low,Stable
EMP-2361,3,Medium,3,Medium,2,121,2,0,0,0,RandD,medium,Stable
EMP-2362,5,High,4,High,5,234,3,0,0,0,RandD,medium,Stable
EMP-2363,5,High,4,High,4,185,3,0,0,0,RandD,medium,Stable
EMP-2364,4,High,3,Medium,4,160,3,0,0,0,marketing,medium,Stable
EMP-2365,2,Low,4,High,4,153,3,1,0,0,sales,medium,Stable
EMP-2366,2,Low,4,High,3,199,6,0,0,0,accounting,medium,Stable
EMP-2367,4,High,3,Medium,3,166,2,0,0,0,support,medium,Stable
EMP-2368,4,High,5,High,2,247,3,0,0,0,technical,medium,Stable
EMP-2369,3,Medium,4,High,4,245,3,0,0,0,management,medium,Stable
EMP-2370,1,Low,3,Medium,5,242,4,0,0,0,marketing,medium,Burnout Risk
EMP-2371,4,High,5,High,5,158,2,0,0,0,marketing,medium,Stable
EMP-2372,4,High,4,High,3,163,3,1,0,0,marketing,medium,Stable
EMP-2373,3,Medium,4,High,3,99,3,1,0,0,sales,high,Stable
